time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
13740,0,0,0,1,511
13740,0,0,0,0,512
13743,0,0,0,1,511
13743,0,0,0,0,512
13746,0,0,0,1,511
13746,0,0,0,0,512
13749,0,0,0,1,511
13749,0,0,0,0,512
13752,0,0,0,1,511
13752,0,0,0,0,512
13755,0,0,0,1,511
13755,0,0,0,0,512
13758,0,0,0,1,511
13758,0,0,0,0,512
13761,0,0,0,1,511
13761,0,0,0,0,512
13764,0,0,0,1,511
13764,0,0,0,0,512
13771,0,0,0,1,511
13771,0,0,0,0,512
13774,0,0,0,1,511
13774,0,0,0,0,512
13777,0,0,0,1,511
13777,0,0,0,0,512
13784,0,0,0,1,511
13784,0,0,0,0,512
13787,0,0,0,1,511
13787,0,0,0,0,512
13790,0,0,0,1,511
13790,0,0,0,0,512
13797,0,0,0,1,511
13797,0,0,0,0,512
13800,0,0,0,1,511
13800,0,0,0,0,512
13803,0,0,0,1,511
13803,0,0,0,0,512
13805,0,0,0,1,511
13805,0,0,0,0,512
13806,0,0,0,1,511
13806,0,0,0,0,512
13810,0,0,0,1,511
13810,0,0,0,0,512
13813,0,0,0,1,511
13813,0,0,0,0,512
13818,0,0,0,1,511
13818,0,0,0,0,512
13822,0,0,0,1,511
13822,0,0,0,0,512
13825,0,0,0,1,511
13825.1,0,0,0,0,512
13830,0,0,0,1,511
13830,0,0,0,0,512
13834,0,0,0,1,511
13834,0,0,0,0,512
13837.1,0,0,0,1,511
13837.1,0,0,0,0,512
13842,0,0,0,1,511
13842,0,0,0,0,512
13846,0,0,0,1,511
13846,0,0,0,0,512
13849.1,0,0,0,1,511
13849.1,0,0,0,0,512
13854,0,0,0,1,511
13854,0,0,0,0,512
13858,0,0,0,1,511
13858,0,0,0,0,512
13861.1,0,0,0,1,511
13861.1,0,0,0,0,512
13862.1,0,0,0,1,511
13862.1,0,0,0,0,512
13863.1,0,0,0,1,511
13863.1,0,0,0,0,512
13864.1,0,0,0,1,511
13864.1,0,0,0,0,512
13865.1,0,0,0,1,511
13865.1,0,0,0,0,512
13866,0,0,0,1,511
13866,0,0,0,0,512
13870,0,0,0,1,511
13870,0,0,0,0,512
13879,0,0,0,1,511
13879,0,0,0,0,512
13883,0,0,0,1,511
13883,0,0,0,0,512
13892,0,0,0,1,511
13892,0,0,0,0,512
13895,0,0,0,1,511
13895,0,0,0,0,512
13904,0,0,0,1,511
13904.1,0,0,0,0,512
13907,0,0,0,1,511
13907.1,0,0,0,0,512
13916.1,0,0,0,1,511
13916.1,0,0,0,0,512
13919.1,0,0,0,1,511
13919.1,0,0,0,0,512
13928.1,0,0,0,1,511
13928.1,0,0,0,0,512
13930.1,0,0,0,1,511
13930.1,0,0,0,0,512
13931.1,0,0,0,1,511
13931.1,0,0,0,0,512
13932.1,0,0,0,1,511
13932.1,0,0,0,0,512
13932.1,0,0,0,1,511
13932.1,0,0,0,0,512
13955.1,0,0,0,1,511
13955.1,0,0,0,0,512
13957.1,0,0,0,1,511
13957.1,0,0,0,0,512
13980.1,0,0,0,1,511
13980.1,0,0,0,0,512
13980.1,0,0,0,1,511
13980.1,0,0,0,0,512
13990,0,0,0,1,511
13990,0,0,0,0,512
14005.1,0,0,0,1,511
14005.1,0,0,0,0,512
14005.1,0,0,0,1,511
14005.1,0,0,0,0,512
14015,0,0,0,1,511
14015,0,0,0,0,512
14030.1,0,0,0,1,511
14030.1,0,0,0,0,512
14030.1,0,0,0,1,511
14030.1,0,0,0,0,512
14038,0,0,0,1,511
14038,0,0,0,0,512
14055.1,0,0,0,1,511
14055.1,0,0,0,0,512
14055.1,0,0,0,1,511
14055.1,0,0,0,0,512
14063,0,0,0,1,511
14063,0,0,0,0,512
14078.1,0,0,0,1,511
14078.1,0,0,0,0,512
14080.1,0,0,0,1,511
14080.1,0,0,0,0,512
14081.1,0,0,0,1,511
14081.1,0,0,0,0,512
14082.1,0,0,0,1,511
14082.1,0,0,0,0,512
14083.1,0,0,0,1,511
14083.1,0,0,0,0,512
14085.1,0,0,0,1,511
14085.1,0,0,0,0,512
14086.1,0,0,0,1,511
14086.1,0,0,0,0,512
14087.1,0,0,0,1,511
14087.1,0,0,0,0,512
14088,0,0,0,1,511
14088,0,0,0,0,512
14089,0,0,0,1,511
14089,0,0,0,0,512
14089.1,0,0,0,1,511
14089.1,0,0,0,0,512
14091,0,0,0,1,511
14091,0,0,0,0,512
14091.1,0,0,0,1,511
14091.1,0,0,0,0,512
14092,0,0,0,1,511
14092,0,0,0,0,512
14092.1,0,0,0,1,511
14092.1,0,0,0,0,512
14093,0,0,0,1,511
14093,0,0,0,0,512
14093.1,0,0,0,1,511
14093.1,0,0,0,0,512
14095,0,0,0,1,511
14095,0,0,0,0,512
