job_id,workload_name,profile,submission_time,requested_number_of_resources,requested_time,success,final_state,starting_time,execution_time,finish_time,waiting_time,turnaround_time,stretch,allocated_resources,consumed_energy,metadata
104,w0,D_1_8,6545.000000,1,21600.000000,1,COMPLETED_SUCCESSFULLY,9997.009600,8.000000,10005.009600,3452.009600,3460.009600,432.501200,509,-1.000000,""
105,w0,D_1_143,6622.000000,1,43200.000000,1,COMPLETED_SUCCESSFULLY,10005.011800,143.000000,10148.011800,3383.011800,3526.011800,24.657425,509,-1.000000,""
106,w0,D_1_94,6632.000000,1,43200.000000,1,COMPLETED_SUCCESSFULLY,10148.014000,94.000000,10242.014000,3516.014000,3610.014000,38.404404,509,-1.000000,""
108,w0,D_1_103,6653.000000,1,43200.000000,1,COMPLETED_SUCCESSFULLY,10242.016200,103.000000,10345.016200,3589.016200,3692.016200,35.844817,509,-1.000000,""
87,w0,D_1_1825,5412.000000,1,32400.000000,1,COMPLETED_SUCCESSFULLY,8554.009600,1825.000000,10379.009600,3142.009600,4967.009600,2.721649,5,-1.000000,""
22,w0,D_1_5996,4614.000000,1,32400.000000,1,COMPLETED_SUCCESSFULLY,4614.001800,5996.000000,10610.001800,0.001800,5996.001800,1.000000,478,-1.000000,""
57,w0,D_1_4714,4991.000000,1,32400.000000,1,COMPLETED_SUCCESSFULLY,6326.006200,4714.000000,11040.006200,1335.006200,6049.006200,1.283200,3,-1.000000,""
85,w0,D_1_2541,5326.000000,1,32400.000000,1,COMPLETED_SUCCESSFULLY,8548.004000,2541.000000,11089.004000,3222.004000,5763.004000,2.268006,496,-1.000000,""
80,w0,D_1_3034,5189.000000,1,32400.000000,1,COMPLETED_SUCCESSFULLY,8200.007400,3034.000000,11234.007400,3011.007400,6045.007400,1.992422,500,-1.000000,""
95,w0,D_1_2651,5682.000000,1,32400.000000,1,COMPLETED_SUCCESSFULLY,8821.008400,2651.000000,11472.008400,3139.008400,5790.008400,2.184085,502,-1.000000,""
49,w0,D_1_5486,4923.000000,1,32400.000000,1,COMPLETED_SUCCESSFULLY,6032.004000,5486.000000,11518.004000,1109.004000,6595.004000,1.202152,2,-1.000000,""
94,w0,D_1_2790,5652.000000,1,32400.000000,1,COMPLETED_SUCCESSFULLY,8768.009600,2790.000000,11558.009600,3116.009600,5906.009600,2.116849,507,-1.000000,""
127,w0,D_1_272,7952.000000,1,21600.000000,1,COMPLETED_SUCCESSFULLY,11518.006200,272.000000,11790.006200,3566.006200,3838.006200,14.110317,2,-1.000000,""
90,w0,D_1_3216,5529.000000,1,32400.000000,1,COMPLETED_SUCCESSFULLY,8704.004000,3216.000000,11920.004000,3175.004000,6391.004000,1.987252,409,-1.000000,""
131,w0,D_1_46,8323.000000,1,600.000000,1,COMPLETED_SUCCESSFULLY,11920.006200,46.000000,11966.006200,3597.006200,3643.006200,79.195787,409,-1.000000,""
121,w0,D_1_991,7880.000000,1,32400.000000,1,COMPLETED_SUCCESSFULLY,11040.008400,991.000000,12031.008400,3160.008400,4151.008400,4.188707,3,-1.000000,""
36,w0,D_32_2379,4818.000000,32,79200.000000,1,COMPLETED_SUCCESSFULLY,9716.004000,2379.000000,12095.004000,4898.004000,7277.004000,3.058850,443-474,-1.000000,""
123,w0,D_1_1017,7906.000000,1,32400.000000,1,COMPLETED_SUCCESSFULLY,11089.006200,1017.000000,12106.006200,3183.006200,4200.006200,4.129800,496,-1.000000,""
137,w0,D_1_19,9606.000000,1,1800.000000,1,COMPLETED_SUCCESSFULLY,12106.008400,19.000000,12125.008400,2500.008400,2519.008400,132.579389,496,-1.000000,""
140,w0,D_1_52,9730.000000,1,1800.000000,1,COMPLETED_SUCCESSFULLY,12125.010600,52.000000,12177.010600,2395.010600,2447.010600,47.057896,496,-1.000000,""
54,w0,D_16_3196,4957.000000,16,32400.000000,1,COMPLETED_SUCCESSFULLY,9278.008400,3196.000000,12474.008400,4321.008400,7517.008400,2.352005,479-494,-1.000000,""
129,w0,D_1_695,7970.000000,1,32400.000000,1,COMPLETED_SUCCESSFULLY,11790.008400,695.000000,12485.008400,3820.008400,4515.008400,6.496415,2,-1.000000,""
20,w0,D_1_7927,4561.000000,1,32400.000000,1,COMPLETED_SUCCESSFULLY,4561.001800,7927.000000,12488.001800,0.001800,7927.001800,1.000000,476,-1.000000,""
149,w0,D_1_162,9900.000000,1,21600.000000,1,COMPLETED_SUCCESSFULLY,12485.010600,162.000000,12647.010600,2585.010600,2747.010600,16.956856,2,-1.000000,""
133,w0,D_1_734,9418.000000,1,21600.000000,1,COMPLETED_SUCCESSFULLY,11966.008400,734.000000,12700.008400,2548.008400,3282.008400,4.471401,409,-1.000000,""
115,w0,D_1_2447,7789.000000,1,32400.000000,1,COMPLETED_SUCCESSFULLY,10345.018400,2447.000000,12792.018400,2556.018400,5003.018400,2.044552,509,-1.000000,""
86,w0,D_1_4274,5355.000000,1,32400.000000,1,COMPLETED_SUCCESSFULLY,8554.009000,4274.000000,12828.009000,3199.009000,7473.009000,1.748481,4,-1.000000,""
64,w0,D_1_5838,5048.000000,1,32400.000000,1,COMPLETED_SUCCESSFULLY,7102.008000,5838.000000,12940.008000,2054.008000,7892.008000,1.351834,501,-1.000000,""
65,w0,D_8_1063,5052.000000,8,32400.000000,1,COMPLETED_SUCCESSFULLY,12095.006800,1063.000000,13158.006800,7043.006800,8106.006800,7.625594,447-454,-1.000000,""
69,w0,D_16_924,5065.000000,16,32400.000000,1,COMPLETED_SUCCESSFULLY,12474.010600,924.000000,13398.010600,7409.010600,8333.010600,9.018410,479-494,-1.000000,""
16,w0,D_32_8982,4429.000000,32,32400.000000,1,COMPLETED_SUCCESSFULLY,4429.001800,8982.000000,13411.001800,0.001800,8982.001800,1.000000,411-442,-1.000000,""
126,w0,D_1_1981,7944.000000,1,32400.000000,1,COMPLETED_SUCCESSFULLY,11472.010600,1981.000000,13453.010600,3528.010600,5509.010600,2.780924,502,-1.000000,""
128,w0,D_1_1902,7958.000000,1,32400.000000,1,COMPLETED_SUCCESSFULLY,11558.011800,1902.000000,13460.011800,3600.011800,5502.011800,2.892751,507,-1.000000,""
159,w0,D_1_54,10810.000000,1,900.000000,1,COMPLETED_SUCCESSFULLY,13453.012800,54.000000,13507.012800,2643.012800,2697.012800,49.944681,502,-1.000000,""
78,w0,D_1_5504,5156.000000,1,32400.000000,1,COMPLETED_SUCCESSFULLY,8021.006200,5504.000000,13525.006200,2865.006200,8369.006200,1.520532,408,-1.000000,""
171,w0,D_1_11,11297.000000,1,120.000000,1,COMPLETED_SUCCESSFULLY,13525.008400,11.000000,13536.008400,2228.008400,2239.008400,203.546218,408,-1.000000,""
172,w0,D_1_17,11310.000000,1,120.000000,1,COMPLETED_SUCCESSFULLY,13536.010600,17.000000,13553.010600,2226.010600,2243.010600,131.941800,408,-1.000000,""
61,w0,D_4_1469,5016.000000,4,32400.000000,1,COMPLETED_SUCCESSFULLY,12095.006200,1469.000000,13564.006200,7079.006200,8548.006200,5.818929,443-446,-1.000000,""
179,w0,D_1_12,11371.000000,1,120.000000,1,COMPLETED_SUCCESSFULLY,13553.012800,12.000000,13565.012800,2182.012800,2194.012800,182.834400,408,-1.000000,""
182,w0,D_1_12,11380.000000,1,3600.000000,1,COMPLETED_SUCCESSFULLY,13565.015000,12.000000,13577.015000,2185.015000,2197.015000,183.084583,408,-1.000000,""
183,w0,D_1_12,11380.000000,1,3600.000000,1,COMPLETED_SUCCESSFULLY,13577.017200,12.000000,13589.017200,2197.017200,2209.017200,184.084767,408,-1.000000,""
91,w0,D_1_4930,5557.000000,1,32400.000000,1,COMPLETED_SUCCESSFULLY,8708.006800,4930.000000,13638.006800,3151.006800,8081.006800,1.639149,499,-1.000000,""
186,w0,D_1_12,11380.000000,1,3600.000000,1,COMPLETED_SUCCESSFULLY,13638.009000,12.000000,13650.009000,2258.009000,2270.009000,189.167417,499,-1.000000,""
187,w0,D_1_12,11380.000000,1,3600.000000,1,COMPLETED_SUCCESSFULLY,13650.011200,12.000000,13662.011200,2270.011200,2282.011200,190.167600,499,-1.000000,""
185,w0,D_1_77,11380.000000,1,900.000000,1,COMPLETED_SUCCESSFULLY,13589.019400,77.000000,13666.019400,2209.019400,2286.019400,29.688564,408,-1.000000,""
67,w0,D_1_6542,5056.000000,1,32400.000000,1,COMPLETED_SUCCESSFULLY,7132.006200,6542.000000,13674.006200,2076.006200,8618.006200,1.317335,497,-1.000000,""
188,w0,D_1_12,11380.000000,1,3600.000000,1,COMPLETED_SUCCESSFULLY,13662.013400,12.000000,13674.013400,2282.013400,2294.013400,191.167783,499,-1.000000,""
189,w0,D_1_12,11380.000000,1,3600.000000,1,COMPLETED_SUCCESSFULLY,13666.021600,12.000000,13678.021600,2286.021600,2298.021600,191.501800,408,-1.000000,""
191,w0,D_1_9,11383.000000,1,120.000000,1,COMPLETED_SUCCESSFULLY,13674.015600,9.000000,13683.015600,2291.015600,2300.015600,255.557289,499,-1.000000,""
190,w0,D_1_12,11380.000000,1,3600.000000,1,COMPLETED_SUCCESSFULLY,13674.008400,12.000000,13686.008400,2294.008400,2306.008400,192.167367,497,-1.000000,""
193,w0,D_1_11,11407.000000,1,120.000000,1,COMPLETED_SUCCESSFULLY,13678.023800,11.000000,13689.023800,2271.023800,2282.023800,207.456709,408,-1.000000,""
194,w0,D_1_12,11417.000000,1,3600.000000,1,COMPLETED_SUCCESSFULLY,13683.017800,12.000000,13695.017800,2266.017800,2278.017800,189.834817,499,-1.000000,""
195,w0,D_1_12,11417.000000,1,3600.000000,1,COMPLETED_SUCCESSFULLY,13686.010600,12.000000,13698.010600,2269.010600,2281.010600,190.084217,497,-1.000000,""
200,w0,D_1_12,11417.000000,1,3600.000000,1,COMPLETED_SUCCESSFULLY,13689.026000,12.000000,13701.026000,2272.026000,2284.026000,190.335500,408,-1.000000,""
201,w0,D_1_12,11417.000000,1,3600.000000,1,COMPLETED_SUCCESSFULLY,13695.020000,12.000000,13707.020000,2278.020000,2290.020000,190.835000,499,-1.000000,""
202,w0,D_1_12,11417.000000,1,3600.000000,1,COMPLETED_SUCCESSFULLY,13698.012800,12.000000,13710.012800,2281.012800,2293.012800,191.084400,497,-1.000000,""
205,w0,D_1_12,11417.000000,1,3600.000000,1,COMPLETED_SUCCESSFULLY,13701.028200,12.000000,13713.028200,2284.028200,2296.028200,191.335683,408,-1.000000,""
117,w0,D_1_3337,7816.000000,1,32400.000000,1,COMPLETED_SUCCESSFULLY,10379.011800,3337.000000,13716.011800,2563.011800,5900.011800,1.768059,5,-1.000000,""
209,w0,D_1_12,11449.000000,1,3600.000000,1,COMPLETED_SUCCESSFULLY,13707.022200,12.000000,13719.022200,2258.022200,2270.022200,189.168517,499,-1.000000,""
210,w0,D_1_12,11449.000000,1,3600.000000,1,COMPLETED_SUCCESSFULLY,13710.015000,12.000000,13722.015000,2261.015000,2273.015000,189.417917,497,-1.000000,""
211,w0,D_1_12,11449.000000,1,3600.000000,1,COMPLETED_SUCCESSFULLY,13713.030400,12.000000,13725.030400,2264.030400,2276.030400,189.669200,408,-1.000000,""
213,w0,D_1_12,11449.000000,1,3600.000000,1,COMPLETED_SUCCESSFULLY,13716.014000,12.000000,13728.014000,2267.014000,2279.014000,189.917833,5,-1.000000,""
214,w0,D_1_12,11449.000000,1,3600.000000,1,COMPLETED_SUCCESSFULLY,13719.024400,12.000000,13731.024400,2270.024400,2282.024400,190.168700,499,-1.000000,""
219,w0,D_1_12,11449.000000,1,3600.000000,1,COMPLETED_SUCCESSFULLY,13722.017200,12.000000,13734.017200,2273.017200,2285.017200,190.418100,497,-1.000000,""
223,w0,D_1_12,11449.000000,1,3600.000000,1,COMPLETED_SUCCESSFULLY,13725.032600,12.000000,13737.032600,2276.032600,2288.032600,190.669383,408,-1.000000,""
225,w0,D_1_12,11479.000000,1,3600.000000,1,COMPLETED_SUCCESSFULLY,13728.016200,12.000000,13740.016200,2249.016200,2261.016200,188.418017,5,-1.000000,""
226,w0,D_1_12,11479.000000,1,3600.000000,1,COMPLETED_SUCCESSFULLY,13731.026600,12.000000,13743.026600,2252.026600,2264.026600,188.668883,499,-1.000000,""
227,w0,D_1_12,11479.000000,1,3600.000000,1,COMPLETED_SUCCESSFULLY,13734.019400,12.000000,13746.019400,2255.019400,2267.019400,188.918283,497,-1.000000,""
229,w0,D_1_12,11479.000000,1,3600.000000,1,COMPLETED_SUCCESSFULLY,13737.034800,12.000000,13749.034800,2258.034800,2270.034800,189.169567,408,-1.000000,""
230,w0,D_1_12,11479.000000,1,3600.000000,1,COMPLETED_SUCCESSFULLY,13740.018400,12.000000,13752.018400,2261.018400,2273.018400,189.418200,5,-1.000000,""
232,w0,D_1_12,11479.000000,1,3600.000000,1,COMPLETED_SUCCESSFULLY,13743.028800,12.000000,13755.028800,2264.028800,2276.028800,189.669067,499,-1.000000,""
234,w0,D_1_12,11479.000000,1,3600.000000,1,COMPLETED_SUCCESSFULLY,13746.021600,12.000000,13758.021600,2267.021600,2279.021600,189.918467,497,-1.000000,""
239,w0,D_1_12,11479.000000,1,3600.000000,1,COMPLETED_SUCCESSFULLY,13749.037000,12.000000,13761.037000,2270.037000,2282.037000,190.169750,408,-1.000000,""
245,w0,D_1_12,11479.000000,1,3600.000000,1,COMPLETED_SUCCESSFULLY,13752.020600,12.000000,13764.020600,2273.020600,2285.020600,190.418383,5,-1.000000,""
250,w0,D_1_13,11549.000000,1,3600.000000,1,COMPLETED_SUCCESSFULLY,13758.023800,13.000000,13771.023800,2209.023800,2222.023800,170.924908,497,-1.000000,""
251,w0,D_1_13,11549.000000,1,3600.000000,1,COMPLETED_SUCCESSFULLY,13761.039200,13.000000,13774.039200,2212.039200,2225.039200,171.156862,408,-1.000000,""
252,w0,D_1_13,11549.000000,1,3600.000000,1,COMPLETED_SUCCESSFULLY,13764.022800,13.000000,13777.022800,2215.022800,2228.022800,171.386369,5,-1.000000,""
253,w0,D_1_13,11549.000000,1,3600.000000,1,COMPLETED_SUCCESSFULLY,13771.026000,13.000000,13784.026000,2222.026000,2235.026000,171.925077,497,-1.000000,""
255,w0,D_1_13,11549.000000,1,3600.000000,1,COMPLETED_SUCCESSFULLY,13774.041400,13.000000,13787.041400,2225.041400,2238.041400,172.157031,408,-1.000000,""
256,w0,D_1_13,11549.000000,1,3600.000000,1,COMPLETED_SUCCESSFULLY,13777.025000,13.000000,13790.025000,2228.025000,2241.025000,172.386538,5,-1.000000,""
257,w0,D_1_13,11549.000000,1,3600.000000,1,COMPLETED_SUCCESSFULLY,13784.028200,13.000000,13797.028200,2235.028200,2248.028200,172.925246,497,-1.000000,""
259,w0,D_1_13,11549.000000,1,3600.000000,1,COMPLETED_SUCCESSFULLY,13787.043600,13.000000,13800.043600,2238.043600,2251.043600,173.157200,408,-1.000000,""
263,w0,D_1_13,11549.000000,1,3600.000000,1,COMPLETED_SUCCESSFULLY,13790.027200,13.000000,13803.027200,2241.027200,2254.027200,173.386708,5,-1.000000,""
275,w0,D_1_2,11569.000000,1,120.000000,1,COMPLETED_SUCCESSFULLY,13803.029400,2.000000,13805.029400,2234.029400,2236.029400,1118.014700,5,-1.000000,""
278,w0,D_1_1,11582.000000,1,120.000000,1,COMPLETED_SUCCESSFULLY,13805.031600,1.000000,13806.031600,2223.031600,2224.031600,2224.031600,5,-1.000000,""
269,w0,D_1_13,11549.000000,1,3600.000000,1,COMPLETED_SUCCESSFULLY,13797.030400,13.000000,13810.030400,2248.030400,2261.030400,173.925415,497,-1.000000,""
271,w0,D_1_13,11549.000000,1,3600.000000,1,COMPLETED_SUCCESSFULLY,13800.045800,13.000000,13813.045800,2251.045800,2264.045800,174.157369,408,-1.000000,""
279,w0,D_1_12,11586.000000,1,3600.000000,1,COMPLETED_SUCCESSFULLY,13806.033800,12.000000,13818.033800,2220.033800,2232.033800,186.002817,5,-1.000000,""
281,w0,D_1_12,11586.000000,1,3600.000000,1,COMPLETED_SUCCESSFULLY,13810.032600,12.000000,13822.032600,2224.032600,2236.032600,186.336050,497,-1.000000,""
283,w0,D_1_12,11586.000000,1,3600.000000,1,COMPLETED_SUCCESSFULLY,13813.048000,12.000000,13825.048000,2227.048000,2239.048000,186.587333,408,-1.000000,""
284,w0,D_1_12,11586.000000,1,3600.000000,1,COMPLETED_SUCCESSFULLY,13818.036000,12.000000,13830.036000,2232.036000,2244.036000,187.003000,5,-1.000000,""
285,w0,D_1_12,11586.000000,1,3600.000000,1,COMPLETED_SUCCESSFULLY,13822.034800,12.000000,13834.034800,2236.034800,2248.034800,187.336233,497,-1.000000,""
286,w0,D_1_12,11586.000000,1,3600.000000,1,COMPLETED_SUCCESSFULLY,13825.050200,12.000000,13837.050200,2239.050200,2251.050200,187.587517,408,-1.000000,""
287,w0,D_1_12,11586.000000,1,3600.000000,1,COMPLETED_SUCCESSFULLY,13830.038200,12.000000,13842.038200,2244.038200,2256.038200,188.003183,5,-1.000000,""
289,w0,D_1_12,11586.000000,1,3600.000000,1,COMPLETED_SUCCESSFULLY,13834.037000,12.000000,13846.037000,2248.037000,2260.037000,188.336417,497,-1.000000,""
292,w0,D_1_12,11586.000000,1,3600.000000,1,COMPLETED_SUCCESSFULLY,13837.052400,12.000000,13849.052400,2251.052400,2263.052400,188.587700,408,-1.000000,""
294,w0,D_1_12,11586.000000,1,3600.000000,1,COMPLETED_SUCCESSFULLY,13842.040400,12.000000,13854.040400,2256.040400,2268.040400,189.003367,5,-1.000000,""
298,w0,D_1_12,11586.000000,1,3600.000000,1,COMPLETED_SUCCESSFULLY,13846.039200,12.000000,13858.039200,2260.039200,2272.039200,189.336600,497,-1.000000,""
299,w0,D_1_12,11586.000000,1,3600.000000,1,COMPLETED_SUCCESSFULLY,13849.054600,12.000000,13861.054600,2263.054600,2275.054600,189.587883,408,-1.000000,""
303,w0,D_1_1,11598.000000,1,120.000000,1,COMPLETED_SUCCESSFULLY,13861.056800,1.000000,13862.056800,2263.056800,2264.056800,2264.056800,408,-1.000000,""
304,w0,D_1_1,11600.000000,1,120.000000,1,COMPLETED_SUCCESSFULLY,13862.059000,1.000000,13863.059000,2262.059000,2263.059000,2263.059000,408,-1.000000,""
